"","Forest type","Species","Individual number","LT (mm)","LA (cm²)","SLA (cm2 g-1)","LDMC (g g-1)","LTD (g cm-3)","TDMC (g g-1)","TTD (g cm-3)","BT (mm)","BDMC (g g-1)","BTD (g cm-3)","SDMC (g g-1)","STD (g cm-3)","LC (mg g-1)","LN (mg g-1)","LP (mg g-1)","LCN","LCP","LNP","TC (mg g-1)","TN (mg g-1)","TP (mg g-1)","TCN","TCP","TNP","BC (mg g-1)","BN (mg g-1)","BP (mg g-1)","BCN","BCP","BNP","SC (mg g-1)","SN (mg g-1)","SP (mg g-1)","SCN","SCP","SNP"
"25",NA,NA,5,0.3815,24.66295,110.102455357143,0.415970287836583,0.476144146018828,0.437699680511182,0.441935483870968,"1.494","0.412718204488778","0.411691542288557","0.385093167701863","0.352272727272727",439.34,11.75,1.03632887189293,37.3906382978723,423.938782287821,11.3380996309963,466.99,2.29,0.893576222435283,203.92576419214,522.607907725322,2.56273605150215,"429.25","4.32","0.452952029520295","99.3634259259259","947.672097759675","9.53743380855398","462.61","2.03","0.507848568790397","227.886699507389","910.921145454546","3.99725454545455"
"26",NA,"Betula luminifera",1,0.313,24.26135,213.756387665198,0.365539452495974,0.298927972521487,0.535211267605634,0.426168224299065,"0.686","0.492957746478873","0.507246376811594","0.509803921568627","0.387096774193548",476.57,19.53,1.25738798856053,24.4019457245264,379.015868081881,15.5321986353298,468.52,3.54,0.554709800190295,132.350282485876,844.621818181818,6.38171526586621,"514.63","5.01","0.563636363636364","102.720558882236","913.053225806451","8.88870967741935","458.15","1.81","0.316804407713499","253.121546961326","1446.16043478261","5.71330434782608"
"27",NA,NA,2,0.3195,39.5336,129.618360655738,0.411605937921727,0.482939367231623,0.515075376884422,0.466970387243736,"2.872","0.661129568106312","0.658940397350993","0.577981651376147","0.463235294117647",480.92,19.73,1.13922859830668,24.3750633552965,422.145301403798,17.3187365813377,467.81,3.98,0.464944649446494,117.540201005025,1006.16277777778,8.56015873015874,"496.48","5.92","0.398445092322643","83.8648648648649","1246.04370731707","14.857756097561","472.89","2.04","0.231517509727626","231.808823529412","2042.56689075631","8.81142857142859"
"28",NA,NA,3,0.269,24.0432,245.338775510204,0.357664233576642,0.30304806985592,0.487084870848708,0.382608695652174,"0.888","0.471337579617834","0.52112676056338","0.608888888888889","0.409566517189836",480.19,21.56,1.23988970588235,22.2722634508349,387.284447739067,17.3886434395849,468.2,2.31,0.429833169774288,202.683982683983,1089.2598173516,5.37417808219179,"508.21","5.36","0.443518518518519","94.8152985074627","1145.85970772442","12.0851774530271","463.93","0.98","0.156102175969726","473.397959183673","2971.96369696969","6.27793939393938"
"29",NA,NA,4,0.2565,22.33345,202.112669683258,0.398916967509025,0.385788331200871,0.432950191570881,0.360446570972887,"1.11","0.488448844884488","0.505119453924915","0.621149897330595","0.440962099125364",479.99,21.31,1.23025048169557,22.5241670577194,390.156319498825,17.3216758026625,466.03,4.96,0.620626151012891,93.9576612903226,750.90293768546,7.99192878338279,"489.13","6.38","0.459903381642512","76.666144200627","1063.54947478992","13.8724789915966","460.76","1.52","0.191509433962264","303.131578947368","2405.93891625616","7.93694581280789"
"30",NA,NA,5,0.2555,27.11825,203.132958801498,0.366758241758242,0.385352957781498,0.514124293785311,0.405797101449275,"1.544","0.524861878453039","0.472636815920398","0.658031088082901","0.415032679738562",471.04,21.58,1.3448275862069,21.8276181649676,350.260512820512,16.0466666666666,468.44,2.67,0.447467166979362,175.445692883895,1046.8701048218,5.96691823899371,"507.61","6.51","0.517110266159696","77.973886328725","981.628161764706","12.5891911764706","462.51","1.45","0.204291044776119","318.972413793103","2263.97589041096","7.09771689497718"
"31",NA,"Castanea mollissima",1,0.2465,44.7148,187.091213389121,0.450094161958569,0.43367029999515,0.557539682539683,0.57700205338809,"2.586","0.507129094412331","0.492883895131086","0.560655737704918","0.552504038772213",474.25,22.88,1.11305147058824,20.7277097902098,426.08092485549,20.556102394715,465.63,3.17,0.432664756446991,146.88643533123,1076.19119205298,7.32668874172186,"452.37","5.59","0.466346153846154","80.9248658318426","970.030515463917","11.9868041237113","467.95","2.71","0.141143911439114","172.675276752768","3315.41045751635","19.2002614379085"
"32",NA,NA,2,0.2155,49.32345,214.449782608696,0.424746075715605,0.432769963508484,0.505509641873278,0.540500736377025,"2.116","0.435294117647059","0.453061224489796","0.494949494949495","0.513626834381551",471.29,23.07,1.52173913043478,20.4286952752492,309.704857142858,15.1602857142857,464.44,3.89,0.583718778908418,119.393316195373,795.657115689382,6.66416798732171,"450.51","6.34","0.687203791469194","71.0583596214511","655.569724137931","9.22579310344828","456.52","2.21","0.219373219373219","206.570135746606","2081.01974025974","10.0741558441559"
"33",NA,NA,3,0.291,41.4363,157.253510436433,0.463908450704225,0.437055568082547,0.561611374407583,0.632,"2.406","0.471816283924843","0.497797356828194","0.587421383647799","0.645919778699862",475.89,22.48,0.96360153256705,21.1694839857651,493.865964214712,23.3291451292247,463.07,3.28,0.444022770398482,141.17987804878,1042.89696581197,7.38700854700855,"439.94","5.48","0.475754803293687","80.2810218978102","924.720038461539","11.5185384615385","460.13","1.62","0.112662942271881","284.030864197531","4084.12909090908","14.379173553719"
"34",NA,NA,4,0.29,62.8583,143.676114285714,0.459800315291645,0.480006837491683,0.543835616438356,0.567954220314735,"2.396","0.44031007751938","0.441679626749611","0.577376565954311","0.563061444484369",474.28,21.86,1.14299332697807,21.6962488563586,414.945554628859,19.1252210175147,466.64,4.47,0.628759398496241,104.393736017897,742.159880418535,7.10923766816143,"470.34","8.44","0.628415300546448","55.7274881516588","748.454086956522","13.4306086956522","463.88","2.54","0.194470046082949","182.629921259843","2385.35450236967","13.0611374407583"
"35",NA,NA,5,0.2555,42.43805,131.795186335404,0.471794871794872,0.593935853604367,0.543352601156069,0.593684210526316,"2.308","0.436962750716332","0.433238636363636","0.599333333333333","0.618294360385145",470.48,18.43,1.59317073170732,25.5279435702659,295.310471524801,11.5681261481935,467.29,3.32,1.24082784571966,140.75,376.595352539803,2.67563305534496,"463.23","5.91","0.648648648648649","78.3807106598985","714.14625","9.11125","466.95","1.45","0.287557603686636","322.034482758621","1623.84855769231","5.04246794871795"
"36",NA,"Castanopsis eyrei",1,0.4945,11.4288,77.4833898305085,0.466034755134281,0.521981471391806,0.512953367875648,0.642857142857143,"1.92","0.510204081632653","0.557324840764331","0.521317829457364","0.625581395348837",439.97,11.2,0.651685393258427,39.2830357142857,675.126379310345,17.1862068965517,466.03,4,0.543458371454712,116.5075,857.526582491582,7.36026936026936,"464.84","6.53","0.42497670083877","71.1852986217458","1093.80114035088","15.365548245614","473.08","2.52","0.181649675625579","187.730158730159","2604.35367346939","13.8728571428572"
"37",NA,NA,2,0.3945,17.20935,83.1369565217391,0.495215311004785,0.609802030753443,0.541818181818182,0.603238866396761,"3.178","0.532983508245877","0.549459041731067","0.42970297029703","0.442857142857143",449.83,12.33,0.76269621421976,36.4825628548256,589.78921307506,16.1663317191283,467.48,3.75,0.678260869565217,124.661333333333,689.233333333334,5.52884615384616,"456.06","6.46","0.446376811594203","70.5975232198142","1021.69285714286","14.4720779220779","473.71","3.32","0.338694418164617","142.683734939759","1398.63539106145","9.80234636871508"
"38",NA,NA,3,0.3205,11.59455,96.62125,0.496894409937888,0.645846499603803,0.585964912280702,0.637404580152672,"2.752","0.579520697167756","0.514506769825919","0.640086206896552","0.731527093596059",448.41,11.62,0.659803921568627,38.5895008605852,679.610995542348,17.6112927191679,467.31,3.55,0.391261171797418,131.63661971831,1194.36845177665,9.07322335025381,"485.12","8.04","0.378832838773492","60.3383084577114","1280.56480417754","21.2230809399478","450.16","1.99","0.121788772597526","226.211055276382","3696.235625","16.339765625"
"39",NA,NA,4,0.368,12.26255,91.171375464684,0.48294434470377,0.596106242885505,0.544086021505376,0.634085213032581,"5.718","0.591534391534392","0.530360531309298","0.443236714975845","0.463969658659924",453.45,12.05,0.650232558139535,37.6307053941909,697.365879828326,18.5318311874106,467.77,4.2,0.559849198868992,111.37380952381,835.528569023568,7.5020202020202,"469.23","6.74","0.378802747791953","69.6186943620178","1238.71857512953","17.7929015544041","471.27","3.72","0.343173431734317","126.685483870968","1373.27064516129","10.84"
"40",NA,NA,5,0.3235,9.89545,99.9540404040404,0.479418886198547,0.618522291984647,0.574585635359116,0.632218844984802,"2.462","0.632058287795993","0.62748643761302","0.597938144329897","0.556927297668038",556.79,10.69,0.647058823529412,52.0851262862488,860.493636363636,16.5209090909091,469.25,2.94,0.365402405180388,159.608843537415,1284.20063291139,8.04592405063292,"487.77","6.11","0.334296724470135","79.8314238952537","1459.09296829971","18.2771757925072","473.24","2.23","0.128352490421456","212.215246636771","3687.03402985074","17.3740298507463"
"41",NA,"Celtis biondii",1,0.3165,15.51645,110.437366548043,0.402002861230329,0.572189968067167,0.615853658536585,0.633228840125392,"1.962","0.655367231638418","0.659090909090909","0.637002341920375","0.683417085427136",402.44,13.22,0.758620689655172,30.4417549167927,530.489090909091,17.4263636363637,452.26,3.27,0.514946962391514,138.305810397554,878.265205992509,6.35016853932584,"408.37","12.63","0.472222222222222","32.3333333333333","864.783529411765","26.7458823529412","455.94","3.31","0.275700934579439","137.746223564955","1653.74847457627","12.0057627118644"
"42",NA,NA,2,0.3965,14.73235,93.8366242038216,0.412614980289093,0.537544507219362,0.644144144144144,0.595833333333333,"6.164","0.708470847084708","0.838541666666667","0.564564564564564","0.528089887640449",415.66,12.22,0.724952741020794,34.0147299509002,573.361512385919,16.8562711864407,447,5.28,0.486301369863014,84.6590909090909,919.183098591549,10.8574647887324,"417.28","11.16","0.409224730127576","37.3906810035842","1019.6842206235","27.2710791366907","454.5","4.47","0.511928429423459","101.677852348993","887.819417475729","8.73168932038835"
"43",NA,NA,3,0.3805,16.7835,103.283076923077,0.377030162412993,0.50891607257566,0.540540540540541,0.547945205479452,"2.702","0.699337748344371","0.96","0.605546995377504","0.631832797427653",396.87,17.13,0.992647058823529,23.1681260945709,399.809777777778,17.2568888888889,459.81,4.17,0.967197750702905,110.26618705036,475.404331395349,4.31142441860465,"399.21","9.42","0.407509157509157","42.3789808917197","979.634426966293","23.1160449438202","454.76","2.96","0.284132841328413","153.635135135135","1600.51896103896","10.4176623376623"
"44",NA,NA,4,0.331,13.8098,117.530212765957,0.381493506493506,0.514105771640167,0.659630606860158,0.641025641025641,"1.578","0.670731707317073","0.948275862068966","0.653488372093023","0.630044843049327",405.5,15.53,0.812206572769953,26.1107533805538,499.257225433526,19.1207514450867,450.3,3.52,0.418250950570342,127.926136363636,1076.62636363636,8.416,"388.95","10.33","0.367546432062561","37.6524685382382","1058.23364361702","28.1052925531915","448.42","2.59","0.174471992653811","173.135135135135","2570.15463157894","14.8447894736842"
"45",NA,NA,5,0.362,13.89665,86.5834890965732,0.465217391304348,0.638096470366392,0.676724137931035,0.64344262295082,"1.432","0.671814671814672","0.920634920634921","0.725746268656716","0.7243947858473",427.64,12.55,0.783758262511804,34.0749003984064,545.627421686747,16.0125903614458,455.33,4.01,0.483751160631383,113.548628428928,941.248387715932,8.28938579654511,"392.18","8.71","0.453080568720379","45.0264064293915","865.585564853557","19.2239539748954","461.33","1.37","0.195736434108527","336.737226277372","2356.89386138614","6.99920792079208"
"46",NA,"Cephalotaxus fortunei",1,0.7045,1.696275,49.5262773722628,0.405325443786982,1.14641882346906,0.464912280701754,0.497652582159624,"1.248","0.611260053619303","0.418348623853211","0.521525215252153","0.575305291723202",507.66,13.03,1.2074569789675,38.9608595548734,420.437339667457,10.7912747426761,478.23,3.99,0.568139963167587,119.857142857143,841.746807131281,7.02291734197732,"479.55","6.75","0.281015037593985","71.0444444444444","1706.49230769231","24.0200668896321","481.74","2.74","0.289719626168224","175.817518248175","1662.78","9.45741935483872"
"47",NA,NA,2,0.6125,2.02065,71.5274336283186,0.338323353293413,0.913022027161395,0.447619047619048,0.497354497354497,"1.218","0.627586206896552","0.270833333333333","0.475262368815592","0.505582137161085",489.82,12.81,0.740134744947064,38.2373145979703,661.798413524058,17.3076592977893,478.51,3.33,0.574612403100775,143.696696696697,832.752647554806,5.7952107925801,"471.12","7.65","0.37243947858473","61.5843137254902","1264.9572","20.54025","481.52","2.8","0.389320388349515","171.971428571429","1236.82194513716","7.19201995012468"
"48",NA,NA,3,0.5085,1.3751,72.3736842105263,0.356807511737089,1.0868969071848,0.494318181818182,0.554140127388535,"1.54","0.432539682539683","0.444897959183673","0.572501878287002","0.621533442088091",491.75,11.91,0.674766355140187,41.288832913518,728.770775623269,17.6505540166205,479.98,2.77,0.54537037037037,173.27797833935,880.099151103566,5.07911714770798,"455.51","7.3","0.587209302325581","62.3986301369863","775.72","12.4316831683168","480.73","2.1","0.183443085606773","228.919047619048","2620.59482051282","11.4476923076923"
"49",NA,NA,4,0.861,2.118875,58.8576388888889,0.352941176470588,0.789321629447617,0.429305912596401,0.366228070175439,"2.632","0.425797503467406","0.332251082251082","0.476780185758514","0.534722222222222",491.54,11.66,0.700092850510678,42.156089193825,702.106870026525,16.6549336870027,482.05,3.79,1.09295774647887,127.189973614776,441.050902061857,3.46765463917527,"467.13","8.6","0.662605435801312","54.3174418604651","704.989688826025","12.9790664780764","481.03","2.63","0.424213536701621","182.901140684411","1133.93364044944","6.19970786516853"
"50",NA,NA,5,0.5775,1.91372,88.5981481481482,0.285714285714286,0.97722230531628,0.451901565995526,0.495098039215686,"2.36","0.492917847025496","0.409411764705882","0.537190082644628","0.570175438596491",479.53,16.23,1.03407984420643,29.5459026494147,463.726280602635,15.6951129943502,479.78,4.09,0.740234375,117.305623471883,648.146068601583,5.52527704485488,"467.59","7.96","0.611496531219029","58.7424623115578","764.665008103727","13.017244732577","481.47","2.33","0.313670411985019","206.639484978541","1534.95510447761","7.42817910447761"
"51",NA,"Cerasus schneideriana",1,0.507,28.9141,202.196503496504,0.319910514541387,0.195096013399194,0.509803921568627,0.553191489361702,"1.358","0.780269058295964","0.874371859296482","0.669811320754717","0.617391304347826",444.86,21.98,1.32139491046183,20.2393084622384,336.659386590584,16.6339372325249,461.94,5.33,1.10480769230769,86.6679174484053,418.118015665797,4.82436901653613,"525.25","3.02","0.250481695568401","173.923841059603","2096.95961538461","12.0567692307692","460.24","1.13","0.176525821596244","407.29203539823","2607.21063829787","6.40132978723405"
